Feature,Type,Value
GenHlth,Importance,0.2455343880592399
HighBP,Importance,0.2335407060650499
BMI,Importance,0.12667763943939742
HighChol,Importance,0.11908935412946257
Age,Importance,0.09003670734253508
DiffWalk,Importance,0.07323381039822649
HeartDiseaseorAttack,Importance,0.031202764882160096
Income,Importance,0.026985818142391683
PhysHlth,Importance,0.024387308597069373
Education,Importance,0.007826680432949559
CholCheck,Importance,0.005642502488296154
PhysActivity,Importance,0.00442341382948982
HvyAlcoholConsump,Importance,0.0035699827494540654
Stroke,Importance,0.0028178702342958814
Sex,Importance,0.0020434916870628378
MentHlth,Importance,0.0011652937581724985
Smoker,Importance,0.0008086369459614244
Veggies,Importance,0.0003471575811546572
AnyHealthcare,Importance,0.00022838275660182084
NoDocbcCost,Importance,0.00022254990513067676
Fruits,Importance,0.00021554057589811258
