Feature,Type,Value
HighBP,Importance,0.4661270088577794
GenHlth,Importance,0.29423940341216814
BMI,Importance,0.0991631499937307
Age,Importance,0.08937474395948497
HighChol,Importance,0.04463623520291831
Income,Importance,0.001842695232190425
DiffWalk,Importance,0.0018368978172454604
Sex,Importance,0.001431567712253036
HeartDiseaseorAttack,Importance,0.0005240008828698394
HvyAlcoholConsump,Importance,0.00035294756030988583
CholCheck,Importance,0.000198531737142499
PhysHlth,Importance,0.00010323101864299104
Education,Importance,9.773518688643964e-05
Stroke,Importance,7.185142637789104e-05
AnyHealthcare,Importance,0.0
Fruits,Importance,0.0
MentHlth,Importance,0.0
PhysActivity,Importance,0.0
NoDocbcCost,Importance,0.0
Smoker,Importance,0.0
Veggies,Importance,0.0
