Feature,Type,Value
GenHlth,Importance,0.23856997477090255
HighBP,Importance,0.2161211510417608
BMI,Importance,0.1357778999613673
HighChol,Importance,0.10960738785721454
Age,Importance,0.09950310060504311
DiffWalk,Importance,0.06454480435091307
HeartDiseaseorAttack,Importance,0.02895762585949896
Income,Importance,0.028716653121859927
PhysHlth,Importance,0.025265394802980356
Education,Importance,0.010899456234461341
CholCheck,Importance,0.007845705431448
HvyAlcoholConsump,Importance,0.006558029802163229
PhysActivity,Importance,0.00557660030650385
Sex,Importance,0.00542690785553183
MentHlth,Importance,0.00523498945658851
Stroke,Importance,0.00363004127688524
Smoker,Importance,0.0021936643441172266
Veggies,Importance,0.00162093290720099
Fruits,Importance,0.0015451103373136572
NoDocbcCost,Importance,0.001277351258942866
AnyHealthcare,Importance,0.0011272184173026487
